Movie Name,Genre,Rating,Votes,Duration
Longing,Unknown,4.8,1400.0,Unknown
Bookworm,Unknown,6.0,2700.0,Unknown
Piece by Piece,Unknown,6.9,7600.0,Unknown
Millers in Marriage,Unknown,5.4,857000.0,Unknown
Irish Wish,Unknown,5.3,23000.0,Unknown
Lembayung,Unknown,5.8,893000.0,Unknown
My Penguin Friend,Unknown,6.8,7100.0,Unknown
Omni Loop,Unknown,5.6,3800.0,Unknown
Bonjour Tristesse,Unknown,5.7,1300.0,Unknown
Badland Hunters,Unknown,6.0,13000.0,Unknown
Lake George,Unknown,6.5,2100.0,Unknown
Pavements,Unknown,7.0,1200.0,Unknown
El 47,Unknown,7.2,5000.0,Unknown
Frewaka,Unknown,6.1,3100.0,Unknown
2B Honest,Unknown,4.1,123000.0,Unknown
Vanished Into the Night,Unknown,5.2,5200.0,Unknown
Hot Frosty,Unknown,5.3,16000.0,Unknown
The Wailing,Unknown,6.0,2900.0,Unknown
Lilly,Unknown,7.0,727000.0,Unknown
Article 370,Unknown,7.8,27000.0,Unknown
The Radleys,Unknown,5.1,3600.0,Unknown
The Piano Lesson,Unknown,6.2,5600.0,Unknown
Kill the Jockey,Unknown,6.3,3000.0,Unknown
Code 8: Part II,Unknown,5.7,17000.0,Unknown
Sunshine,Unknown,7.4,408000.0,Unknown
Soundtrack to a Coup d'Etat,Unknown,7.8,3900.0,Unknown
7 Keys,Unknown,5.9,55000.0,Unknown
La Cocina,Unknown,7.0,4900.0,Unknown
White Snake: Afloat,Unknown,6.9,785000.0,Unknown
Grafted,Unknown,5.6,3400.0,Unknown
Saint Clare,Unknown,4.6,1200.0,Unknown
Mon Potongo,Unknown,4.6,972000.0,Unknown
Life After Fighting,Unknown,6.4,2700.0,Unknown
Cookster: The Darkest Days,Unknown,6.3,108000.0,Unknown
Monster Island,Unknown,5.2,2200.0,Unknown
The Day Everything Changed,Unknown,6.7,205000.0,Unknown
KA,Unknown,7.1,2000.0,Unknown
Happyend,Unknown,6.8,1900.0,Unknown
Vermiglio,Unknown,6.9,6800.0,Unknown
Bonhoeffer: Pastor. Spy. Assassin.,Unknown,6.2,4600.0,Unknown
Madgaon Express,Unknown,7.0,43000.0,Unknown
18×2 Beyond Youthful Days,Unknown,7.5,2900.0,Unknown
My Fault,Unknown,4.2,7500.0,Unknown
I Wish You All the Best,Unknown,5.5,607000.0,Unknown
The Inheritance,Unknown,4.7,3400.0,Unknown
"Hammer: Heroes, Legends and Monsters",Unknown,6.6,257000.0,Unknown
Behind the Lines,Unknown,8.1,55000.0,Unknown
Superboys of Malegaon,Unknown,7.7,8400.0,Unknown
Someone Like You,Unknown,5.9,2800.0,Unknown
Twilight of the Warriors: Walled In,Unknown,6.9,12000.0,Unknown
Eephus,Unknown,6.7,2300.0,Unknown
Rob Peace,Unknown,6.6,2800.0,Unknown
Rumours,Unknown,4.8,6200.0,Unknown
100 litraa sahtia,Unknown,6.4,1300.0,Unknown
