Movie Name,Rating,Votes,Duration
The Good Teacher,6.6,2500.0,Unknown
Inside the Mind of a Dog,7.2,2700.0,Unknown
Nawi: Dear Future Me,7.7,217000.0,Unknown
Dahomey,6.7,3300.0,Unknown
1978,4.9,1300.0,Unknown
The Beach Boys,7.1,2500.0,Unknown
Devara Part 1,6.0,23000.0,Unknown
Depravity,4.3,1500.0,Unknown
The Truth vs. Alex Jones,7.4,3300.0,Unknown
Saving Bikini Bottom: The Sandy Cheeks Movie,3.6,4600.0,Unknown
Armand,6.1,4500.0,Unknown
The Ceremony,7.4,71000.0,Unknown
Chime,6.4,3500.0,Unknown
The Bloody Hundredth,7.5,2900.0,Unknown
Castration Movie Anthology I: Traps,7.8,200000.0,Unknown
The Family Star,5.4,6000.0,Unknown
Eno,8.0,350000.0,Unknown
Nedelja,7.2,2000.0,Unknown
The Great Lillian Hall,7.3,2500.0,Unknown
Angels Fallen: Warriors of Peace,3.7,6600.0,Unknown
Nobody Dumps My Daughter,6.0,209000.0,Unknown
The Apocalypse of St. John,7.1,260000.0,Unknown
Zeitgeist: Requiem,9.2,90000.0,Unknown
Else,5.4,840000.0,Unknown
Sunlight,6.7,450000.0,Unknown
Grave Torture,6.1,3500.0,Unknown
Ride,5.9,520000.0,Unknown
My Hero Academia: You're Next,7.0,3700.0,Unknown
